#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","try { . ""c:\Users\zouar\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}","Completed","29/03/2025 15:08:17","29/03/2025 15:08:18"
"2","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 15:08:22","29/03/2025 19:52:20"
"3","cd C:\Users\zouar\Desktop\dossiers\grapheditor\javascript\examples\grapheditor\www\stencils\electrical\center_shapes.py","Completed","29/03/2025 19:53:34","29/03/2025 19:53:34"
"4","cd javascript","Completed","29/03/2025 19:53:49","29/03/2025 19:53:49"
"5","cd grapheditor","Completed","29/03/2025 19:54:06","29/03/2025 19:54:07"
"6","cd \www\stencils\electrical\","Completed","29/03/2025 19:54:21","29/03/2025 19:54:21"
"7","cd www","Completed","29/03/2025 19:54:33","29/03/2025 19:54:33"
"8","cd examples","Completed","29/03/2025 19:54:51","29/03/2025 19:54:51"
"9","cd grapheditor","Completed","29/03/2025 19:55:17","29/03/2025 19:55:17"
"10","cd www","Completed","29/03/2025 19:55:29","29/03/2025 19:55:29"
"11","cd stencils","Completed","29/03/2025 19:55:39","29/03/2025 19:55:39"
"12","cd electrical","Completed","29/03/2025 19:55:48","29/03/2025 19:55:48"
"13","python center_shapes.py","Completed","29/03/2025 19:55:56","29/03/2025 19:55:57"
"14","python center_shapes.py","Completed","29/03/2025 19:56:29","29/03/2025 19:56:29"
"15","python center_shapes.py","Completed","29/03/2025 19:57:49","29/03/2025 19:57:50"
"16","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 20:00:02","29/03/2025 20:01:13"
"17","cd-","Completed","29/03/2025 20:01:25","29/03/2025 20:01:25"
"18","cd -","Completed","29/03/2025 20:01:28","29/03/2025 20:01:28"
"19","cd..","Completed","29/03/2025 20:01:46","29/03/2025 20:01:46"
"20","cd..","Completed","29/03/2025 20:01:49","29/03/2025 20:01:49"
"21","cd..","Completed","29/03/2025 20:01:51","29/03/2025 20:01:51"
"22","cd..","Completed","29/03/2025 20:02:01","29/03/2025 20:02:01"
"23","cc","Completed","29/03/2025 20:02:05","29/03/2025 20:02:05"
"24","cd..","Completed","29/03/2025 20:02:07","29/03/2025 20:02:07"
"25","cd..","Completed","29/03/2025 20:02:11","29/03/2025 20:02:11"
"26","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 20:02:16","29/03/2025 20:05:47"
"27","python center_shapes.py","Completed","29/03/2025 20:08:06","29/03/2025 20:08:06"
"28","python center_shapes.py","Completed","29/03/2025 20:09:13","29/03/2025 20:09:14"
"29","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 20:09:53","29/03/2025 20:12:23"
"30","python center_shapes.py","Completed","29/03/2025 20:12:26","29/03/2025 20:12:27"
"31","python center_shapes.py","Completed","29/03/2025 20:12:42","29/03/2025 20:12:43"
"32","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 20:13:19","29/03/2025 20:14:57"
"33","python center_shapes.py","Completed","29/03/2025 20:14:59","29/03/2025 20:15:01"
"34","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 20:16:03","29/03/2025 20:19:47"
"35","python center_shapes.py","Completed","29/03/2025 20:19:53","29/03/2025 20:19:54"
"36","python center_shapes.py","Completed","29/03/2025 20:20:32","29/03/2025 20:20:33"
"37","python center_shapes.py","Completed","29/03/2025 20:24:45","29/03/2025 20:24:46"
"38","python -m SimpleHTTPServer 8000","Stopped","29/03/2025 20:25:35","29/03/2025 20:34:20"
